,user,date,renderedContent
1686,Bayuuu96,2013-07-03 05:55:17+00:00,"Batal Tampil di LA, Lionel Messi Tuai Kecaman http://t.co/FRcmrYvBRs"
1687,beritanegara,2013-07-03 05:55:13+00:00,"Batal Tampil di LA, Lionel Messi Tuai Kecaman: ""Kami menyesal mensponsori acara ini,"" Ines Calderon. http://t.co/573Pr2y1WE #beritanegara"
1688,dandy_officiall,2013-07-03 05:55:03+00:00,"Batal Tampil di LA, Lionel Messi Tuai Kecaman: ""Kami menyesal mensponsori acara ini,"" Ines Calderon. http://t.co/jS45PpQnDc"
1689,nazar_bobol,2013-07-03 05:55:01+00:00,"Nazaer : Batal Tampil di LA, Lionel Messi Tuai Kecaman: ""Kami menyesal mensponsori acara ini,"" Ines ... http://t.co/KVqS6bprUg Via bobol"
1690,GueBukanAndrez,2013-07-03 05:54:59+00:00,"Batal Tampil di LA, Lionel Messi Tuai Kecaman http://t.co/3H30AlIWFM"
1691,BeritaLA,2013-07-03 05:54:50+00:00,"Batal Tampil di LA, Lionel Messi Tuai Kecaman: ""Kami menyesal mensponsori acara ini,"" Ines Calderon. http://t.co/DpsBwynu22"
1692,nabilazhd,2013-07-03 05:54:48+00:00,"Batal Tampil di LA, Lionel Messi Tuai Kecaman: ""Kami menyesal mensponsori acara ini,"" Ines Calderon. http://t.co/to3irLCRaO"
1693,Jinjamasita,2013-07-03 05:54:42+00:00,"Batal Tampil di LA, Lionel Messi Tuai Kecaman: ""Kami menyesal mensponsori acara ini,"" Ines Calderon. http://t.co/JkUtyqcWo2"
1694,handikaclauser,2013-07-03 05:54:34+00:00,"Batal Tampil di LA, Lionel Messi Tuai Kecaman: ""Kami menyesal mensponsori acara ini,"" Ines Calderon. http://t.co/rMQI5PnThb"
1695,handikaclauser,2013-07-03 05:54:32+00:00,"Batal Tampil di LA, Lionel Messi Tuai Kecaman: ""Kami menyesal mensponsori acara ini,"" Ines Calderon. http://t.co/yDeSQYtYA8"
1696,brandoharison,2013-07-03 05:54:30+00:00,"#BrandoHarisonNEWS : Batal Tampil di LA, Lionel Messi Tuai Kecaman: ""Kami menyesal mensponsori acara ini,"" Ine... http://t.co/xU0pYBQYij"
1697,newskabarberita,2013-07-03 05:54:27+00:00,"Batal Tampil di LA, Lionel Messi Tuai Kecaman: ""Kami menyesal mensponsori acara ini,"" Ines Calderon. http://t.co/hHZ0FMMhEa"
1698,mendoanbrewok,2013-07-03 05:54:24+00:00,"Batal Tampil di LA, Lionel Messi Tuai Kecaman"
1699,Cacing1st,2013-07-03 05:54:21+00:00,"Batal Tampil di LA, Lionel Messi Tuai Kecaman: ""Kami menyesal mensponsori acara ini,"" Ines Calderon. http://t.co/KSLaGFlD5l"
1700,ALDIGA_Shop,2013-07-03 05:54:18+00:00,"#SekedarInfo #News | Batal Tampil di LA, Lionel Messi Tuai Kecaman: ""Kami menyesal mensponsori acara i... http://t.co/ahVLIoPZx6 #Berita"
